,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles
4,100114.cif,Be2+:2.000 Li1+:2.000 Sb3-:2.000,Be1,4.0,2,2,2,0.052,"[111.814, 111.79, 111.79, 107.032, 107.032, 107.026]"
5,100166.cif,F1-:40.000 K1+:20.000 Li1+:8.000 Nd3+:4.000,Li1,4.0,1,2,1,0.008,"[130.98, 105.795, 105.795, 104.011, 104.011, 103.285]"
6,100166.cif,F1-:40.000 K1+:20.000 Li1+:8.000 Nd3+:4.000,Li2,4.0,1,2,1,0.053,"[119.974, 119.967, 104.543, 104.466, 104.466, 101.18]"
9,100200.cif,H1+:8.000 Li1+:4.000 O2-:16.000 P5+:4.000,Li1,4.0,1,2,1,0.006,"[116.129, 114.872, 109.962, 107.254, 105.754, 103.185]"
14,100200.cif,H1+:8.000 Li1+:4.000 O2-:16.000 P5+:4.000,P1,4.0,5,3,5,0.117,"[117.413, 111.457, 109.889, 106.368, 105.623, 105.522]"
16,100300.cif,F1-:72.000 Li1+:36.000 V3+:12.000,F2,4.0,-1,2,7,0.149,"[160.7, 106.392, 97.117, 92.172, 90.481, 90.332]"
18,100300.cif,F1-:72.000 Li1+:36.000 V3+:12.000,F4,4.0,-1,2,7,0.132,"[124.694, 121.386, 110.041, 107.806, 97.111, 92.08]"
19,100300.cif,F1-:72.000 Li1+:36.000 V3+:12.000,F5,4.0,-1,2,7,0.151,"[126.927, 124.305, 121.158, 99.986, 94.847, 83.742]"
20,100300.cif,F1-:72.000 Li1+:36.000 V3+:12.000,F6,4.0,-1,2,7,0.124,"[120.073, 118.986, 115.113, 100.661, 100.026, 98.198]"
21,100300.cif,F1-:72.000 Li1+:36.000 V3+:12.000,F7,4.0,-1,2,7,0.148,"[134.131, 130.263, 120.365, 93.486, 89.381, 81.112]"
24,100300.cif,F1-:72.000 Li1+:36.000 V3+:12.000,Li2,4.0,1,2,1,0.011,"[120.411, 119.604, 110.072, 109.451, 101.584, 91.851]"
26,100324.cif,C4+:4.000 Li1+:8.000 O2-:12.000,Li1,4.0,1,2,1,0.021,"[115.944, 114.797, 114.381, 111.574, 104.442, 93.991]"
28,100324.cif,C4+:4.000 Li1+:8.000 O2-:12.000,O2,4.0,-2,2,6,0.467,"[131.391, 116.583, 114.589, 103.438, 98.552, 86.009]"
29,100348.cif,Al3+:2.000 Li1+:2.000 O2-:20.000 Si4+:8.000,Al1,4.0,3,3,3,0.001,"[116.872, 116.872, 113.954, 113.954, 98.262, 98.065]"
30,100348.cif,Al3+:2.000 Li1+:2.000 O2-:20.000 Si4+:8.000,Li1,4.0,1,2,1,0.002,"[124.298, 124.298, 121.796, 121.796, 85.158, 84.474]"
37,100348.cif,Al3+:2.000 Li1+:2.000 O2-:20.000 Si4+:8.000,Si1,4.0,4,3,4,0.019,"[111.045, 110.769, 109.81, 109.372, 109.117, 106.678]"
38,100348.cif,Al3+:2.000 Li1+:2.000 O2-:20.000 Si4+:8.000,Si2,4.0,4,3,4,0.015,"[110.506, 110.481, 110.157, 110.133, 108.337, 107.236]"
39,100402.cif,Li1+:8.000 O2-:12.000 Si4+:4.000,O1,4.0,-2,2,6,0.354,"[124.667, 113.16, 113.16, 102.275, 102.275, 97.342]"
40,100402.cif,Li1+:8.000 O2-:12.000 Si4+:4.000,O2,4.0,-2,2,6,0.353,"[121.648, 120.132, 113.559, 104.022, 97.025, 95.158]"
41,100402.cif,Li1+:8.000 O2-:12.000 Si4+:4.000,Si1,4.0,4,3,4,0.094,"[116.853, 109.342, 109.342, 108.615, 108.615, 103.197]"
42,100403.cif,Ge4+:4.000 Li1+:8.000 O2-:12.000,Ge1,4.0,4,4,4,0.12,"[117.969, 109.153, 109.153, 108.609, 108.609, 102.187]"
43,100403.cif,Ge4+:4.000 Li1+:8.000 O2-:12.000,Li1,4.0,1,2,1,0.036,"[117.6, 109.603, 109.524, 109.19, 108.826, 100.784]"
44,100403.cif,Ge4+:4.000 Li1+:8.000 O2-:12.000,O1,4.0,-2,2,6,0.346,"[118.424, 112.998, 112.998, 104.14, 104.14, 102.474]"
45,100403.cif,Ge4+:4.000 Li1+:8.000 O2-:12.000,O2,4.0,-2,2,6,0.367,"[117.265, 117.245, 113.042, 105.302, 101.344, 100.195]"
47,100485.cif,Cl1-:2.000 Fe3+:2.000 Li1+:1.000 O2-:2.000,Li1,4.0,1,2,1,0.177,"[165.72, 95.918, 95.918, 95.918, 95.918, 67.877]"
48,100485.cif,Cl1-:2.000 Fe3+:2.000 Li1+:1.000 O2-:2.000,O1,4.0,-2,2,6,0.075,"[148.299, 103.651, 99.718, 99.718, 99.718, 99.718]"
69,100631.cif,Li1+:8.000 Na1+:8.000 O2-:120.000 Si4+:48.000 Zr4+:8.000,Li1,4.0,1,2,1,0.001,"[133.283, 133.283, 111.457, 107.494, 88.877, 88.877]"
78,10236.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,O1,4.0,-2,2,6,0.28,"[121.965, 120.053, 114.582, 101.233, 97.909, 96.131]"
81,10236.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Si1,4.0,4,3,4,0.048,"[116.66, 111.672, 108.463, 107.909, 107.434, 104.276]"
82,10237.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,O1,4.0,-2,2,6,0.281,"[122.087, 120.086, 114.576, 101.321, 97.811, 95.9]"
85,10237.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Si1,4.0,4,3,4,0.048,"[116.821, 111.562, 108.379, 107.897, 107.422, 104.318]"
86,10251.cif,B3+:56.000 Cl1-:8.000 Li1+:32.000 O2-:96.000,B1,4.0,3,2,3,0.002,"[112.439, 110.977, 108.857, 108.857, 107.866, 107.866]"
109,1040.cif,Al3+:4.000 Cl1-:16.000 Li1+:4.000,Al1,4.0,3,3,3,0.014,"[113.222, 112.799, 110.628, 110.457, 105.325, 103.963]"
114,10479.cif,Li1+:32.000 O2-:64.000 W6+:16.000,Li1,4.0,1,2,1,0.012,"[115.849, 109.457, 109.451, 107.578, 107.122, 107.122]"
116,10479.cif,Li1+:32.000 O2-:64.000 W6+:16.000,O3,4.0,-2,2,6,0.516,"[120.245, 115.151, 114.708, 106.153, 104.129, 92.51]"
117,10480.cif,Al3+:20.000 Li1+:3.984 O2-:32.000,Al1,4.0,3,3,3,0.028,"[110.212, 110.212, 110.212, 108.723, 108.723, 108.723]"
118,106060.cif,Cu2+:8.240 Li1+:7.760 Mo6+:12.000 O2-:48.000,Mo1,4.0,6,5,6,0.075,"[113.772, 110.371, 110.267, 109.451, 108.966, 103.509]"
119,106060.cif,Cu2+:8.240 Li1+:7.760 Mo6+:12.000 O2-:48.000,Mo2,4.0,6,5,6,0.057,"[115.113, 109.147, 109.147, 108.361, 108.361, 106.356]"
123,106915.cif,F1-:16.000 Li1+:4.000 Nd3+:0.060 Y3+:3.940,Li1,4.0,1,2,1,0.0,"[124.988, 124.981, 102.316, 102.316, 102.316, 102.316]"
124,107724.cif,Ba2+:8.000 Li1+:12.000 O2-:56.000 P5+:16.000,O1,4.0,-2,2,6,0.426,"[132.524, 129.072, 107.794, 104.685, 89.393, 82.571]"
130,107724.cif,Ba2+:8.000 Li1+:12.000 O2-:56.000 P5+:16.000,O7,4.0,-2,2,6,0.459,"[123.911, 122.195, 118.177, 98.03, 97.828, 90.126]"
131,107724.cif,Ba2+:8.000 Li1+:12.000 O2-:56.000 P5+:16.000,P1,4.0,5,3,5,0.13,"[116.398, 112.241, 110.243, 109.105, 105.783, 102.298]"
132,107724.cif,Ba2+:8.000 Li1+:12.000 O2-:56.000 P5+:16.000,P2,4.0,5,3,5,0.13,"[116.321, 114.854, 107.927, 107.452, 106.254, 103.244]"
139,110018.cif,C2+:4.000 F1-:12.000 Li1+:4.000 O2-:12.000 S6+:4.000,Li1,4.0,1,2,1,0.023,"[118.692, 116.93, 113.966, 109.566, 106.362, 86.732]"
144,1125.cif,B3+:56.000 Cl1-:8.000 Li1+:32.000 O2-:96.000,B1,4.0,3,2,3,0.0,"[111.716, 111.709, 108.361, 108.361, 108.361, 108.361]"
146,1126.cif,B3+:56.000 Cl1-:8.000 Li1+:32.104 O2-:96.000,B1,4.0,3,2,3,0.0,"[111.913, 111.907, 108.264, 108.264, 108.264, 108.264]"
148,1127.cif,B3+:56.000 Cl1-:8.000 Li1+:32.600 O2-:96.000,B1,4.0,3,2,3,0.0,"[111.783, 111.777, 108.331, 108.331, 108.331, 108.331]"
151,130018.cif,B3+:32.000 Li1+:16.000 O2-:56.000,B2,4.0,3,2,3,0.048,"[114.828, 111.783, 111.285, 109.166, 107.158, 102.228]"
154,130018.cif,B3+:32.000 Li1+:16.000 O2-:56.000,O3,4.0,-2,2,6,0.335,"[119.94, 114.123, 112.644, 112.049, 98.778, 96.281]"
156,1321.cif,Cl7+:2.000 H1+:12.000 Li1+:2.000 O2-:14.000,Cl1,4.0,7,3,7,0.02,"[109.81, 109.81, 109.798, 109.16, 109.123, 109.123]"
162,1384.cif,F1-:4.000 Li1+:4.000 O2-:12.000 S6+:4.000,Li1,4.0,1,2,1,0.029,"[119.531, 119.531, 110.622, 110.622, 108.699, 87.071]"
165,1384.cif,F1-:4.000 Li1+:4.000 O2-:12.000 S6+:4.000,S1,4.0,6,3,6,0.272,"[117.477, 113.478, 113.478, 104.543, 102.815, 102.815]"
172,14.cif,Li1+:4.000 Nd3+:4.000 O2-:48.000 P5+:16.000,P1,4.0,5,3,5,0.162,"[118.372, 111.814, 110.708, 106.218, 105.1, 103.733]"
173,14.cif,Li1+:4.000 Nd3+:4.000 O2-:48.000 P5+:16.000,P2,4.0,5,3,5,0.124,"[120.192, 111.975, 110.048, 107.452, 103.987, 101.274]"
174,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Al1,4.0,3,3,3,0.026,"[113.035, 111.82, 110.506, 110.182, 110.127, 100.492]"
175,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Al2,4.0,3,3,3,0.007,"[115.233, 112.241, 112.241, 111.242, 103.079, 103.079]"
176,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Li1,4.0,1,2,1,0.05,"[140.642, 134.886, 119.144, 114.822, 76.803, 73.913]"
179,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Si1,4.0,4,3,4,0.026,"[113.035, 111.82, 110.506, 110.182, 110.127, 100.492]"
180,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Si2,4.0,4,3,4,0.007,"[115.233, 112.241, 112.241, 111.242, 103.079, 103.079]"
183,14360.cif,Be2+:18.000 F1-:72.000 Li1+:36.000,Be1,4.0,2,2,2,0.005,"[111.512, 110.683, 109.968, 109.396, 107.758, 107.392]"
188,14360.cif,Be2+:18.000 F1-:72.000 Li1+:36.000,Li1,4.0,1,2,1,0.008,"[116.545, 110.426, 109.603, 109.275, 106.427, 104.56]"
191,1485.cif,Li1+:8.000 O2-:16.000 Te6+:4.000,Li2,4.0,1,2,1,0.024,"[127.186, 127.178, 107.188, 100.568, 100.568, 96.846]"
194,150233.cif,Fe3+:1.512 Li1+:8.808 Mn3+:4.080 Mn4+:9.600 O2-:32.000,Fe1,4.0,3,4,8,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
195,150233.cif,Fe3+:1.512 Li1+:8.808 Mn3+:4.080 Mn4+:9.600 O2-:32.000,Li1,4.0,1,2,1,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
196,150234.cif,Fe3+:3.192 Li1+:8.096 Mn3+:4.520 Mn4+:8.200 O2-:32.000,Fe1,4.0,3,4,8,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
197,150234.cif,Fe3+:3.192 Li1+:8.096 Mn3+:4.520 Mn4+:8.200 O2-:32.000,Li1,4.0,1,2,1,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
198,150236.cif,Fe3+:7.296 Li1+:5.704 Mn3+:7.576 Mn4+:3.400 O2-:32.000,Fe1,4.0,3,4,8,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
199,150236.cif,Fe3+:7.296 Li1+:5.704 Mn3+:7.576 Mn4+:3.400 O2-:32.000,Li1,4.0,1,2,1,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
200,150237.cif,Fe3+:9.200 Li1+:5.600 Mn3+:6.011 Mn4+:3.200 O2-:32.000,Fe1,4.0,3,4,8,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
201,150237.cif,Fe3+:9.200 Li1+:5.600 Mn3+:6.011 Mn4+:3.200 O2-:32.000,Li1,4.0,1,2,1,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
202,150238.cif,Fe3+:11.144 Li1+:5.496 Mn3+:4.355 Mn4+:3.000 O2-:32.000,Fe1,4.0,3,4,8,0.0,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
203,150238.cif,Fe3+:11.144 Li1+:5.496 Mn3+:4.355 Mn4+:3.000 O2-:32.000,Li1,4.0,1,2,1,0.0,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
204,150239.cif,Fe3+:12.732 Li1+:5.168 Mn3+:1.824 Mn4+:3.648 O2-:32.000,Fe1,4.0,3,4,8,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
205,150239.cif,Fe3+:12.732 Li1+:5.168 Mn3+:1.824 Mn4+:3.648 O2-:32.000,Li1,4.0,1,2,1,0.0,"[109.475, 109.475, 109.469, 109.469, 109.469, 109.469]"
206,150240.cif,Fe3+:14.948 Li1+:5.212 Mn3+:1.224 Mn4+:2.472 O2-:32.000,Fe1,4.0,3,4,8,0.0,"[109.652, 109.652, 109.384, 109.384, 109.384, 109.384]"
207,150240.cif,Fe3+:14.948 Li1+:5.212 Mn3+:1.224 Mn4+:2.472 O2-:32.000,Li1,4.0,1,2,1,0.0,"[109.652, 109.652, 109.384, 109.384, 109.384, 109.384]"
208,150241.cif,Fe3+:17.576 Li1+:4.792 Mn3+:0.648 Mn4+:1.284 O2-:32.000,Fe1,4.0,3,4,8,0.008,"[109.731, 109.731, 109.725, 109.214, 109.214, 109.208]"
209,150241.cif,Fe3+:17.576 Li1+:4.792 Mn3+:0.648 Mn4+:1.284 O2-:32.000,Li1,4.0,1,2,1,0.002,"[109.731, 109.731, 109.731, 109.208, 109.208, 109.208]"
210,150242.cif,Fe3+:19.672 Li1+:3.944 O2-:32.000,Fe1,4.0,3,4,8,0.0,"[109.475, 109.475, 109.469, 109.469, 109.469, 109.469]"
217,15035.cif,As5+:4.000 Li1+:4.000 Mo6+:4.000 O2-:24.000,As1,4.0,5,4,5,0.042,"[111.457, 110.763, 110.751, 110.005, 106.942, 106.822]"
224,150451.cif,La3+:3.006 Li1+:1.206 Na1+:1.620 O2-:18.000 Ti4+:6.000,Li1,4.0,1,2,1,0.068,"[180.0, 180.0, 90.39, 90.39, 89.61, 89.61]"
225,150452.cif,La3+:2.952 Li1+:1.206 Na1+:1.872 O2-:18.000 Ti4+:6.000,Li1,4.0,1,2,1,0.065,"[180.0, 180.0, 90.355, 90.355, 89.645, 89.645]"
226,150453.cif,La3+:2.862 Li1+:1.206 Na1+:1.908 O2-:18.000 Ti4+:6.000,Li1,4.0,1,2,1,0.061,"[180.0, 180.0, 90.315, 90.315, 89.691, 89.685]"
227,150454.cif,La3+:2.916 Li1+:1.206 Na1+:1.800 O2-:18.000 Ti4+:6.000,Li1,4.0,1,2,1,0.054,"[180.0, 180.0, 90.246, 90.241, 89.759, 89.754]"
228,150455.cif,La3+:3.150 Li1+:1.206 Na1+:1.116 O2-:18.000 Ti4+:6.000,Li1,4.0,1,2,1,0.043,"[180.0, 180.0, 90.166, 90.166, 89.834, 89.834]"
229,150456.cif,La3+:2.880 Li1+:1.206 Na1+:1.836 O2-:18.000 Ti4+:6.000,Li1,4.0,1,2,1,0.033,"[180.0, 180.0, 90.086, 90.086, 89.914, 89.914]"
230,150457.cif,La3+:2.862 Li1+:1.206 Na1+:1.872 O2-:18.000 Ti4+:6.000,Li1,4.0,1,2,1,0.012,"[180.0, 180.0, 90.046, 90.046, 89.954, 89.954]"
231,150458.cif,La3+:0.498 Li1+:0.201 Na1+:0.252 O2-:3.000 Ti4+:1.000,Li1,4.0,1,2,1,0.0,"[180.0, 180.0, 90.0, 90.0, 90.0, 90.0]"
235,150856.cif,H1+:12.000 Li1+:4.000 O2-:64.000 Rb1+:16.000 S6+:16.000,Li1,4.0,1,2,1,0.015,"[116.507, 115.455, 109.518, 106.123, 105.1, 104.407]"
252,150856.cif,H1+:12.000 Li1+:4.000 O2-:64.000 Rb1+:16.000 S6+:16.000,S1,4.0,6,3,6,0.02,"[116.347, 112.532, 110.714, 109.67, 104.064, 103.05]"
256,150858.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,Li1,4.0,1,2,1,0.009,"[117.853, 114.337, 109.348, 106.912, 105.005, 103.562]"
273,150858.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,S1,4.0,6,3,6,0.106,"[114.57, 112.47, 109.36, 109.002, 107.11, 103.946]"
277,150859.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,Li1,4.0,1,2,1,0.009,"[116.507, 114.639, 110.928, 105.95, 105.7, 103.173]"
279,150859.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,O2,4.0,-2,2,6,0.58,"[133.0, 107.752, 105.373, 103.032, 102.932, 100.073]"
294,150859.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,S1,4.0,6,3,6,0.125,"[114.841, 112.476, 109.95, 108.675, 106.308, 104.075]"
304,15111.cif,Eu2+:8.000 Eu3+:4.000 Li1+:4.000 O2-:16.000,Li1,4.0,1,2,1,0.037,"[115.677, 112.687, 112.687, 108.584, 102.991, 102.991]"
306,151435.cif,Cr6+:2.000 Li1+:14.000 N3-:8.000 O2-:1.000,Cr1,4.0,6,4,6,0.072,"[113.409, 113.403, 113.403, 105.278, 105.272, 105.254]"
307,151435.cif,Cr6+:2.000 Li1+:14.000 N3-:8.000 O2-:1.000,Li1,4.0,1,2,1,0.02,"[137.902, 109.676, 107.314, 106.475, 102.985, 86.273]"
308,151435.cif,Cr6+:2.000 Li1+:14.000 N3-:8.000 O2-:1.000,Li2,4.0,1,2,1,0.044,"[130.511, 117.303, 110.842, 105.771, 101.648, 86.709]"
309,151435.cif,Cr6+:2.000 Li1+:14.000 N3-:8.000 O2-:1.000,Li3,4.0,1,2,1,0.017,"[111.839, 111.833, 111.833, 106.99, 106.99, 106.99]"
325,151638.cif,Li1+:7.463 O2-:32.000 V3+:8.544 V4+:7.456 Zn2+:0.537,Li1,4.0,1,2,1,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
326,151638.cif,Li1+:7.463 O2-:32.000 V3+:8.544 V4+:7.456 Zn2+:0.537,Zn1,4.0,2,4,2,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
327,151639.cif,Li1+:5.888 O2-:32.000 V3+:10.112 V4+:5.888 Zn2+:2.112,Li1,4.0,1,2,1,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
328,151639.cif,Li1+:5.888 O2-:32.000 V3+:10.112 V4+:5.888 Zn2+:2.112,Zn1,4.0,2,4,2,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
329,151919.cif,Fe3+:4.000 Li1+:8.000 O2-:48.000 P5+:12.000 Ti4+:4.000,Li1,4.0,1,2,1,0.025,"[140.66, 132.253, 114.778, 99.491, 84.577, 81.582]"
336,151919.cif,Fe3+:4.000 Li1+:8.000 O2-:48.000 P5+:12.000 Ti4+:4.000,P1,4.0,5,3,5,0.018,"[110.812, 110.487, 110.151, 109.889, 108.518, 106.984]"
337,151919.cif,Fe3+:4.000 Li1+:8.000 O2-:48.000 P5+:12.000 Ti4+:4.000,P2,4.0,5,3,5,0.014,"[113.048, 111.642, 111.629, 107.05, 106.684, 106.684]"
338,151920.cif,Cr3+:4.000 Li1+:8.000 O2-:48.000 P5+:12.000 Ti4+:4.000,Li1,4.0,1,2,1,0.031,"[142.495, 132.446, 113.597, 98.807, 83.765, 80.921]"
345,151920.cif,Cr3+:4.000 Li1+:8.000 O2-:48.000 P5+:12.000 Ti4+:4.000,P1,4.0,5,3,5,0.03,"[111.119, 111.027, 110.512, 109.664, 107.446, 107.104]"
346,151920.cif,Cr3+:4.000 Li1+:8.000 O2-:48.000 P5+:12.000 Ti4+:4.000,P2,4.0,5,3,5,0.047,"[113.948, 111.82, 111.814, 106.487, 106.487, 106.081]"
351,152065.cif,Ga3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,O5,4.0,-2,2,6,0.267,"[121.763, 121.151, 118.08, 99.811, 96.067, 93.957]"
352,152065.cif,Ga3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,O6,4.0,-2,2,6,0.268,"[121.373, 121.118, 117.697, 100.16, 96.65, 94.054]"
353,152065.cif,Ga3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Si1,4.0,4,3,4,0.049,"[114.626, 112.724, 109.063, 108.729, 107.374, 103.957]"
354,152065.cif,Ga3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Si2,4.0,4,3,4,0.044,"[116.302, 109.938, 109.664, 107.17, 106.846, 106.828]"
359,152066.cif,Ga3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,O5,4.0,-2,2,6,0.266,"[121.749, 120.944, 117.768, 100.009, 96.217, 94.295]"
360,152066.cif,Ga3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,O6,4.0,-2,2,6,0.264,"[121.373, 121.138, 117.471, 100.376, 96.707, 93.997]"
361,152066.cif,Ga3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Si1,4.0,4,3,4,0.053,"[114.387, 112.899, 109.002, 108.361, 107.764, 104.111]"
362,152066.cif,Ga3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Si2,4.0,4,3,4,0.042,"[116.257, 110.029, 109.591, 107.572, 106.876, 106.386]"
